link;brand;warranty;processor;ram;hardDrive;grapCard;capGrapCard;opSystem;screenSize;price
https://www.falabella.com.co/falabella-co/product/34945594/Portatil-Gamer-Acer-Predator-15.6-15.6-pulgadas-Intel-Core-i7-16GB-512GB-NVIDIA-GEFORCE-RTX-3060/34945594;ACER;1 año;Intel Core i7;16GB;512GB;;4GB;Windows 10 Home;15.6 pulgadas;9.999.900
https://www.falabella.com.co/falabella-co/product/45550124/Portatil-Lenovo-IdeaPad-5-14-Pulgadas-AMD-Ryzen-5-16GB-512GB/45550124;LENOVO;1 año;AMD RYZEN R5;16GB;512GB;;No aplica;Windows 11 Home;14 pulgadas;2.999.900
https://www.falabella.com.co/falabella-co/product/118722450/Portatil-HP-245-G8-Ryzen-5-Ram-16Gb-SSD-256Gb-14-Linux/118722451;HP;12 meses;AMD ryzen 5;16GB;256GB;;No aplica;Linux;14;1.799.888
https://www.falabella.com.co/falabella-co/product/38290467/Portatil-Lenovo-Legion-5-15.6-pulgadas-Intel-Core-i7-16GB-1TB-NVIDIA-GEFORCE-RTX-3060/38290467;LENOVO;1 año;Intel Core i7;16GB;1TB;;6GB;Windows 11 Home;15.6 pulgadas;8.639.900
https://www.falabella.com.co/falabella-co/product/32651903/Portatil-Msi-Gf7612U-Katana-Ci7-16G-512G/32651903;MSI;;Intel core i7;16gb;512gb;;6gb;Linux;17.3 pulgadas;8.847.050
https://www.falabella.com.co/falabella-co/product/45549983/Portatil-Gamer-Lenovo-IdeaPad-Gaming-3-15.6-Pulgadas-AMD-Ryzen-5-8GB-1TB-256GB/45549983;LENOVO;1 año;AMD RYZEN R5;8GB;256GB;;4GB;Windows 11 Home;15.6 pulgadas;4.199.900
https://www.falabella.com.co/falabella-co/product/120473150/Portatil-ASUS-TUF-F15-FX506LH-Core-i5-16GB-RAM-512GB-SSD-15,6-FHD-4GB-VRAM/120473151;ASUS;12 meses;Intel core i5;16GB;512GB;GeForce GTX 1650 4GB;4GB;Linux;15;3.499.900
https://www.falabella.com.co/falabella-co/product/118483731/Portatil-AcerTravelMate-B3-11.6-Intel-Celeron-N4120-8GB-Ram-128GB-Win-10-Pro-Ed/118483732;ACER;6 meses;;8GB;;Intel uhd graphics 600;;Windows 10;;759.300
https://www.falabella.com.co/falabella-co/product/16593560/Portatil-hp-14-pulgadas-amd-ryzen-r3-4gb-ram/16593560;HP;12 Meses;AMD RYZEN R3;4GB;1TB;;No aplica;Windows 10 Home;14 pulgadas;1.199.900
https://www.falabella.com.co/falabella-co/product/65713907/Portatil-Hp-245-G8-14-Pulgadas-Ryzen-3-8Gb-256Gb/65713907;HP;1 año;Amd ryzen r3;8gb;256gb;;No aplica;De fabricante;14 pulgadas;1.899.900
